Date,X_00060_00003,X_99133_00003
3/13/12,95.8,4.98
3/14/12,88.9,4.5
3/15/12,81.5,4.03
3/16/12,75.1,3.83
3/17/12,69.7,3.58
3/18/12,66.8,3.42
3/19/12,61,3.45
3/20/12,60.5,3.14
3/21/12,63.4,2.84
3/22/12,62.7,3.14
3/23/12,59.8,3.66
3/24/12,55.5,3.54
3/25/12,51.6,3.99
3/26/12,47.7,4.04
3/27/12,43.3,4.19
3/28/12,42.2,3.71
3/29/12,41.8,3.72
3/30/12,42.5,4.43
3/31/12,44.6,4.52
4/1/12,44.8,4.85
4/2/12,39.3,4.95
4/3/12,37,3.96
4/4/12,35,3.67
4/5/12,32.9,3.74
4/6/12,32.5,4.25
4/7/12,31.2,5.18
4/8/12,30.4,5.31
4/9/12,28.8,5.48
4/10/12,28,6.07
4/11/12,28.1,6.39
4/12/12,28.6,5.92
4/13/12,44.2,5.22
4/14/12,55.6,5.53
4/15/12,99.4,5.32
4/16/12,121,4.14
4/17/12,122,4.51
4/18/12,105,4.67
4/19/12,112,5.09
4/20/12,205,5.45
4/21/12,317,8.28
4/22/12,241,10.6
4/27/12,117,7.14
4/28/12,119,6.7
4/29/12,130,6.94
4/30/12,134,6.79
5/1/12,133,6.73
5/2/12,180,6.33
5/3/12,284,8.72
5/4/12,282,9.49
5/5/12,259,10.1
5/6/12,302,10.4
5/7/12,294,10.7
5/8/12,295,11.1
5/9/12,256,11.7
5/10/12,223,11.6
5/11/12,198,11.3
5/12/12,176,11
5/13/12,158,10.5
5/16/12,138,9.52
5/17/12,129,9.25
5/20/12,119,8.39
5/21/12,111,8.25
5/22/12,104,7.45
5/23/12,103,7.07
5/24/12,123,6.65
5/25/12,167,7.55
5/26/12,248,11.5
5/27/12,221,13.6
5/28/12,216,12.2
5/29/12,203,12
5/30/12,203,11.8
5/31/12,191,12.4
6/1/12,181,12.4
6/2/12,165,12.1
6/3/12,155,12
6/4/12,142,11.7
6/5/12,131,11
6/6/12,123,10.5
6/7/12,117,10.3
6/12/12,143,9.42
6/13/12,118,9.8
6/14/12,109,9.57
6/15/12,322,7.7
6/16/12,1630,12.1
6/17/12,1230,15.6
6/18/12,831,14.9
6/19/12,603,14.4
6/20/12,465,13.9
6/21/12,1070,13.1
6/22/12,1120,15.8
6/23/12,771,16.1
6/24/12,587,15.8
6/25/12,473,15.4
6/26/12,400,14.9
6/27/12,345,14.6
6/28/12,297,14.1
6/29/12,252,13.5
6/30/12,228,12.8
7/1/12,205,12.4
7/2/12,183,11.6
7/3/12,164,10.6
7/4/12,146,9.49
7/5/12,129,8.28
7/6/12,115,6.95
7/7/12,102,5.74
7/8/12,88.8,4.84
7/9/12,79.6,4.18
7/10/12,73.3,3.66
7/11/12,68.1,3.03
7/12/12,60,2.27
7/13/12,54.6,2.1
7/14/12,48,1.75
7/15/12,43.4,1.48
7/16/12,38.5,1.13
7/17/12,34.4,0.78
7/18/12,31.6,0.5
7/19/12,29.3,0.32
7/20/12,27.5,0.22
7/21/12,25.8,0.21
7/22/12,24.7,0.39
7/23/12,23,0.37
7/24/12,20.8,0.27
7/25/12,19.1,0.2
7/26/12,19.7,0.19
7/27/12,18.1,0.13
7/28/12,18.3,0.11
7/29/12,22.8,0.24
7/30/12,22.6,0.84
7/31/12,21.3,1.09
8/1/12,17.7,1.47
8/2/12,15.3,1.25
8/3/12,13.6,1.27
8/4/12,13.2,0.75
8/5/12,13.2,0.28
8/6/12,12.8,0.14
8/7/12,12,0.13
8/8/12,12.8,0.13
8/9/12,14.7,0.59
8/10/12,13.3,0.89
8/11/12,12.5,1.22
8/12/12,13.2,1.41
8/13/12,13.7,0.99
8/14/12,13.1,0.43
8/15/12,12.1,0.87
8/16/12,13.1,1.46
8/17/12,12.8,1.66
8/18/12,13.3,2.11
8/19/12,15.2,3.28
8/20/12,13.3,2.65
8/21/12,12,2.22
8/22/12,11.2,1.76
8/23/12,10.8,1.79
8/24/12,10.3,1.7
8/25/12,12.7,1.52
8/26/12,14.8,2.49
8/27/12,13.8,2.92
8/28/12,12.7,2.93
8/29/12,12.7,2.85
8/30/12,11.1,3.13
8/31/12,10.4,3.3
9/1/12,10,3.66
9/2/12,9.78,3.66
9/3/12,9.93,4
9/4/12,10.3,4.04
9/5/12,16.2,2.76
9/6/12,13.9,1.2
9/7/12,13.3,1.48
9/8/12,20.7,3.08
9/9/12,17,5.27
9/10/12,16,7.97
9/11/12,11.4,9.09
9/12/12,9.96,9.48
9/13/12,12.5,8.18
9/14/12,11.4,5.18
9/15/12,10.8,5.16
9/16/12,11,4
9/17/12,11.2,3.09
9/18/12,11.8,3.81
9/19/12,10.1,4.99
9/20/12,8.66,5.98
9/21/12,8.14,7.45
9/22/12,7.81,8.05
9/23/12,7.57,8.46
9/24/12,6.56,7.62
9/25/12,6.53,6.32
9/26/12,6.77,5.62
9/27/12,6.68,5.14
9/28/12,7.04,5.2
9/29/12,7.41,5.53
9/30/12,7.68,5.99
10/1/12,8.41,7
10/2/12,8.65,8
10/3/12,7.18,9.22
10/4/12,6.43,8.72
10/5/12,6.44,7.92
10/6/12,6.62,8.06
10/7/12,8.52,7.93
10/8/12,9.89,8.81
10/9/12,10,8.2
10/10/12,10.3,8.04
10/11/12,9.81,8.46
10/12/12,10.4,8.41
10/13/12,12.9,8.21
10/14/12,13.3,8.86
10/15/12,13.6,10.3
10/16/12,13.7,13
10/17/12,12.7,13.8
10/18/12,11.8,13
10/19/12,21.7,11
10/20/12,19.6,12.6
10/21/12,17.3,11.9
10/22/12,18.6,12.6
10/23/12,15.5,11.2
10/24/12,14.6,9.68
10/25/12,22.9,9.66
10/26/12,20.7,8.79
10/27/12,18.9,9.88
10/28/12,19.6,9.03
10/29/12,19.7,9.05
10/30/12,16.4,9.24
10/31/12,14.5,10.4
11/1/12,14.1,11.7
11/2/12,14.4,11.7
11/3/12,13.7,8.98
11/4/12,14.1,6.43
11/5/12,14.7,5.28
11/6/12,14.7,6.71
11/7/12,13.7,7.52
11/8/12,13.5,7.31
11/9/12,15,7.33
11/10/12,14.5,8.46
11/11/12,17.3,8.88
3/20/13,120,4.48
3/21/13,112,4.25
3/22/13,102,4.55
3/23/13,91.1,4.27
3/24/13,78.5,4.48
3/25/13,66.1,4.43
3/26/13,65.5,4.31
3/27/13,71.8,4.01
3/28/13,161,3.39
4/10/13,425,3.84
4/11/13,798,9.94
4/12/13,681,12.4
4/13/13,562,13.4
4/14/13,429,13.1
4/15/13,452,12.2
4/16/13,398,12.8
4/17/13,324,12.9
4/18/13,481,10.9
4/19/13,1080,15.1
4/20/13,872,18.9
4/21/13,662,19
4/22/13,558,18.1
4/23/13,633,16.5
4/24/13,757,18.1
4/25/13,693,19.3
4/26/13,570,19
4/27/13,492,18.7
4/28/13,436,18.1
4/29/13,402,17.7
4/30/13,368,17.4
5/1/13,352,16.6
5/2/13,409,14.8
5/3/13,920,18.2
5/4/13,1100,22.8
5/5/13,900,23.2
5/6/13,784,22.7
5/7/13,698,22.3
5/8/13,638,22
5/9/13,612,21.5
5/10/13,601,21.5
5/11/13,552,21.8
5/12/13,492,21.7
5/13/13,455,21.5
5/14/13,431,21.2
5/15/13,405,21
5/16/13,373,20.6
5/17/13,373,19.7
5/18/13,380,19.7
5/19/13,492,18.9
5/20/13,1050,21.1
5/21/13,899,23.3
5/22/13,736,24.1
5/23/13,618,24.1
5/24/13,534,23.6
5/25/13,536,22.4
5/26/13,1030,21.9
5/27/13,4950,13.9
5/30/13,6320,15.5
5/31/13,5960,16.6
6/1/13,4150,17.8
6/2/13,3020,18.3
6/3/13,2280,18.8
6/4/13,1840,19.2
6/5/13,1450,19.7
6/6/13,1220,20.2
6/7/13,1010,20.6
6/8/13,905,20.5
6/9/13,1400,20.7
6/10/13,2200,22.8
6/11/13,1760,23.8
6/12/13,1340,23.5
6/13/13,1480,22.5
6/14/13,1110,23
6/15/13,2450,18.2
6/16/13,3520,15.5
6/17/13,3010,16.6
6/18/13,2370,18.2
6/19/13,1710,19.4
6/20/13,1190,20.3
6/21/13,951,21
6/22/13,798,21.5
6/23/13,810,21.4
6/24/13,1080,20.6
6/25/13,1160,20.5
6/26/13,887,21.8
6/27/13,707,22.1
6/28/13,603,22.2
6/29/13,538,22.4
6/30/13,473,22.4
7/1/13,420,22.4
7/2/13,393,22.3
7/3/13,368,22.2
7/4/13,344,22
7/5/13,316,21.9
7/6/13,287,21.6
7/7/13,263,21.3
7/8/13,243,20.9
7/9/13,229,20.2
7/10/13,219,19.9
7/11/13,201,19.4
7/12/13,176,19
7/13/13,161,18.8
7/14/13,153,18.5
7/15/13,145,18
7/16/13,135,17.2
7/17/13,126,16.4
7/18/13,117,15.6
7/19/13,111,14.8
7/20/13,104,14.1
7/21/13,98.4,13.5
7/22/13,92.9,12.9
7/23/13,87.4,12.4
7/24/13,77.3,11.7
7/25/13,72,10.7
7/26/13,68.9,10.2
7/27/13,69.1,9.96
7/28/13,63.9,9.68
7/29/13,59.9,9.13
7/30/13,57.6,8.45
7/31/13,57.5,8.13
8/1/13,54.5,7.89
8/2/13,53,7.61
8/3/13,52.3,7.06
8/4/13,49.6,6.77
8/5/13,46.7,6.5
8/6/13,43.8,6.31
8/7/13,41.5,5.89
8/8/13,39.2,5.12
8/9/13,37.5,4.64
8/10/13,35.7,4.46
8/11/13,34.8,4.1
8/12/13,33.1,3.72
8/13/13,34.1,3.37
8/14/13,32.8,3.35
8/15/13,32.1,2.9
8/16/13,30.8,2.46
8/17/13,29.3,1.79
8/18/13,27.1,1.98
8/19/13,25,1.8
8/20/13,22.6,1.16
8/21/13,22,0.83
8/22/13,21.8,0.78
8/23/13,21.6,0.7
8/24/13,24.7,0.48
8/25/13,26.6,0.88
8/26/13,22.5,1.32
8/27/13,20.9,1.41
8/28/13,20.2,1.08
8/29/13,19.5,0.31
8/30/13,18.6,0.45
8/31/13,18.7,0.37
9/1/13,20.5,0.21
9/2/13,18.9,0.31
9/3/13,17.7,0.82
9/4/13,18,0.91
9/5/13,19.2,1.09
9/6/13,20.4,1.41
